Dog,Cookie,Doggie
Dom,Republic,Dominican Republic
Kong,Oil,Donkey
King Kong,Money,Donkey Kong
Donkey Kong,Mario Bros,Donkey Kong Country
Donkey Kong,Donkey Kong,Diddy Kong
Katana,Katana,Double Katana
Wedding,Money,Dowry
Pencil,Earth,Drawing
Vampire,Earth,Dracula
Swamp,Fire,Dragon
Goku,Asia,Dragon Ball
Fight,Anime,Dragon Ball Z
Dragon Ball Z,Time,Dragon Ball Z Kai
Splitting Pains,Dragon,Dragonborn
Dandelion,Dragon,Dragonfly
Plane,Obama,Drone
Love,Rum,Drunk
Dandelion Patch,Lake,Duck
Duck,Water,Duckling
Socrates,Harry Potter,Dumbledore
Wind,Earth,Dust
Dust Storm,Sandstorm,Dust Bowl
Sandstorm,Sandstorm,Dust Storm
Dust Storm,Venus Flytrap,Dust Trap
Dust,Pot,Dustpan
Bird,Gold,Eagle
Planet,Tsunami,Earthquake
Jesus,Time,Easter
Sun,Open,Eclipse
Garden,Lily,Eden
Stone,Pok\u00c3\u00a9mon,Eevee
Dinosaur,Dinosaur,Egg
Planet,Sphinx,Egypt
Skyscraper,Venus,Eiffel Tower
Dragon,Time,Elder
Lightning,Music,Electric Guitar
Windmill,Wind,Electricity
Santa,Gun,Elf
Tesla,Tuxedo,Elon Musk
Windmill,Fire,Energy
Steam,Fire,Engine
Tree,King,Ent
Wind,Volcano,Eruption
New York,House,Empire State Building
Mermaid,Goth,Emo
Baltic,Country,Estonia
Time,Europe,Eternity
Fjord,Continent,Europe
Japan,Europe,Eurovision
Mud,Sword,Excalibur
Adam,Venus,Eve
Mountain Range,Mosquito,Everest
Bacon,Universe,Everything
Theory,Time,Evolution
Fire,Energy,Explosion
Social,Network,Facebook
Magic,Princess,Fairy
Nuke,Water,Fallout
Human,Human,Family
Tractor,Earth,Farm
Flag,Dress,Fashion
Magic,Soil,Fertility
Fart,Number,Fibonacci
Farm,Earth,Field
Battle,War,Fight
Ice Skating,Itchy,Figure Skating
Eurovision,Win,Finland
Phoenix,Volcano,Fire Bird
Fireball,Plant,Fire Flower
Fireman,King,Fire King
Cyclone,Fire,Fire Tornado
Fire,Venus Flytrap,Fire Trap
Firefighter,Firefighter,Fire Truck
Fire King,Marriage,Fire Queen
Fire,Fire Trap,Fireball
Phoenix,Nuke,Firebird
Arsonist,Mirror,Firefighter
Doctor,Arsonist,Fireman
Fire,Bush,Fireplace
Water,Ocean,Fish
Water,Fish,Fishbowl
Fish,Lake,Fishing
Lake,Mountain,Fjord
USA,Fire,Flag
Flag,Flag,Flagpole
Geometry Dash,Wind,Flappy Bird
Flag,Flappy Bird,Flappy Flag
Bird,Bird,Flock
Plant,Rain,Flower
Kite,Wind,Flying
Toaster,Tornado,Flying Bread
Jet,Engine,Flying Car
Wind,Pegasus,Flying Horse
Wind,Mario,Flying Mario
Dust Trap,Venus Flytrap,Flypaper
Water,Smoke,Fog
Farmer,Plant,Food
Stupid,King,Fool
Dust Bowl,Mud,Football
Mountain,Tree,Forest
Paper,Cookie,Fortune
Plant,Stone,Fossil
Napoleon Bonaparte,Land,France
Swamp,Electricity,Frankenstein
America,Rainbow,Freedom
Cold,Metal,Fridge
Like,Facebook,Friend
Fish,Swamp,Frog
Kermit,Cupid,Frog Prince
Frog,Truck,Frogger
Cold,Ice Dragon,Frost Dragon
Sun,Tree,Fruit
Fruit,Fruit,Fruit Tree
Engine,Food,Fuel
Time,History,Future
Vegas,Crocodile,Gambler
Software,Earth,Game
Game,Computer,Gamer
Gamer,Game,Gaming
Love,Earth,Garden
Star,Star,Galaxy
Harry Potter,Coin,Galleon
Minigun,Minigun,Gatling Gun
Judge,Hammer,Gavel
Catholic Church,Rainbow,Gay
Woman,Japan,Geisha
Food,Technology,Genetically Modified Food
Princess,Bottle,Genie
Math,Tree,Geometry
Geometry,Math,Geometry Dash
Berlin ,Dust,Germany
Stone,Steam,Geysir
Grave,Human,Ghost
Book,Wrapper,Gift
House,Cookie,Gingerbread
Best Friend,Love,Girlfriend
Obsidian,Steam,Glass
Flypaper,Fuel,Glue
Universe,Eternity,God
Dinosaur,Japan,Godzilla
Goku,Mountain,Gohan
Dragon Ball Z,Anime,Goku
Metal,Metal,Gold
Fire,Fishbowl,Goldfish
Gold,Gold,Gold Bar
Gold Bar,Gold Bar,Gold Ingot
Swamp,Zombie,Golem
Chef,YouTube,Gordan Ramsay
Black,Passion,Goth
Batman,Castle,Gotham
Tomb,Love,Grave
Cemetary,Cemetary,Graveyard
Longsword,Longsword,Greatsword
Death,Death,Grim Reaper
Grumpy,Revenge,Grudge
Sourpuss,Snake,Grumpy
Weapon,Destruction,Gun
Internet,Computer,Hacker
Rapunzel,Tangled,Hair
Thor,Weapon,Hammer
Alcohol,Fog,Hangover
Hangover,Itchy,Hangry
Hangover,Wish,Hangwish
Flag,Russia,Hammer and Sickle
Shark,Pork,Hammerhead
Morning,Mouse,Hamster
Hungover,Animal,Hangry
Marriage,Garden,Happily Ever After
Bunny,Smile,Happiness
Rabbit,Smile,Hare
Angel,Music,Harp
Owl,Pegasus,Harry Potter
Harry Potter,Heat Death of the Universe,Harry Potter and the Heat Death of the Universe
Android,J-pop,Hatsune Miku
Island,Volcano,Hawaii
Napoleon Complex,Hawaii,Hawaii Five-O
Cupid,Cupid,Heart
Death,Love,Heartbreak
Harry Potter,Hamster,Hedwig
Hydra,Zeus,Hercules
Zero,Jesus,Hero
Curse,Curse,Hex
Hex,Hex,Hexagon
Bear,Cave,Hibernation
Sea,Flying Horse,Hippocampus
New York,Cool,Hipster
Relic,Time,History
Bee,Bee,Hive
Black Hole,Earth,Hole
Water,Wine,Holy Water
Simpson,Family,Homer
Bee,Star,Honey
Honey,Prison,Honeycomb
YouTube,Hot Sauce,Hot Ones
Cold,Geyser,Hot Spring
Time,Tornado,Hourglass
Wall,Brick,House
Rebirth,Zombie,Human
Adam,Eve,Human
Bird,Bee,Hummingbird
Dragon,Monster,Hydra
Snow,Water,Ice
Popsicle,Popsicle,Ice Cream
Ice Cream,Ice Cream,Ice Cream Cone
Cold,Dragon,Ice Dragon
Titan,Water,Iceberg
Fjord,Volcano,Iceland
Island,Ice,Igloo
Plant,Smoke,Incense
Zero,8,Infinity
Computer,Electricity,Internet
Walkman,Music,IPod
Country,Caspian Sea,Iran
Potato,Country,Ireland
Rust,Rust,Iron
Pizza,Country,Italy
Ocean,Earth,Island
Titanic,Ariel,Jack
Jack,Igloo,Jack Frost
Sunflower,Pirate,Jack Sparrow
Prison,Prisoner,Jail
Jail,Bomb,Jail Break
Bird,Prison,Jailbird
Jack,Tux,James Bond
Continent,Tea,Japan
Japan,Electric Guitar,J-pop
Star Wars,Lightsaber,Jedi
Lightsaber,Pig,Jedi Pig
Peanut Butter,Park,Jelly
Jelly,Island,Jellyfish
Church,Son,Jesus
Plane,Plane,Jet
Jesus,Zeus,Jezus
Smile,Happiness,Joy
Bribe,Coin,Judge
Rainforest,Rainforest,Jungle
Judge,Sword,Justice
Mirror,Mirror,Kaleidoscope
Goku,Water,Kamehameha
Rapper,Church,Kanye West
Punishment,Rat,Karma
Plant,Seaweed,Kelp
Miss Piggy,Fight,Kermit
Amazon,Computer,Kindle
Palace,Stupid,King
Camelot,Graveyard,King Arthur
Godzilla,Dinosaur,King Kong
Chocolate,Japan,KitKat
China,Wind,Kite
Robot,Paladin,Knight
Lightsaber,Car,Knight Rider
Owl,Unicorn,Knowledge
Sea Serpent,Pirate,Kraken
Goku,Chinese,Kung Fu
Water,Water,Lake
Earth,Avalanche,Landslide
Lightning,Bullet,Laser
Fire,Earth,Lava
Lava,Lamp,Lava Lamp
Loch Ness Monster,Volcano,Lava Monster
Human,Divorce,Lawyer
Wind,Tree,Leaf
Riot,Software,League of Legends
Cedar,Country,Lebanon
Star Wars,Brick,Lego
Fruit,Fossil,Lemon
Lemon,Lemon,Lemonade
Fire,Glass,Lens
Lion,Tiger,Leopard
Leopard,Teddy Bear,Leopard Bear
Pot of Gold,Warrior,Leprechaun
Pride Month,Girl,Lesbian
Mailbox,Mail,Letter
Crocodile,Megalodon,Leviathan
Bookshelf,Bookshelf,Library
Venus,Steam,Life
Lake,Stone,Lighthouse
Fire,Cloud,Lightning
Laser,Sword,Lightsaber
Facebook,Meme,Like
Flower,Water,Lily
Mario,Longsword,Link
Zebra,Fire,Lion
Lion,Love,Lioness
Swamp,Island,Loch Ness
Swamp,Monster,Loch Ness Monster
Sword,Sword,Longsword
Lily,Flower,Lotus
Mermaid,Prince,Love
Parrot,Cupid,Lovebird
Mario,Human,Luigi
One Piece,Monkey,Luffy
Moon,Lily,Lunar
Woman,Lunch,Lunch Lady
Gun,Cannon,Machine Gun
Computer,Football,Madden
New York,Family,Mafia
Wizard,Witch,Magic
Postman,Postman,Mailbox
Adam,Earth,Man
Book,Japan,Manga
Tree,Swamp,Mangrove
Donkey Kong,Screen,Mario
Super Mario,Luigi,Mario Bros
Mario,Yoshi,Mario Kart
Mario Kart,Money,Mario Kart 8 Deluxe
Wedding,Love,Marriage
Planet,Chocolate,Mars
Tree,Number,Math
Human,Number,Mathematician
Mirror,Stone,Medusa
Shark,North America,Megalodon
Mold,Internet,Meme
Donkey,Sea,Mermaid
Soccer,Dust,Messi
Rock,Oxygen,Metal
Planet,Rock,Meteor
Meteor,Rock,Meteorite
Music,Clock,Metronome
Desert,North America,Mexico
Country,Micro,Micronesia
Lens,Swamp,Microscope
Toilet,Cow,Milk
Solar System,Fjord,Milky Way
Iron,Mountain,Mine
Machine Gun,Gun,Minigun
Mickey Mouse,Mickey Mouse,Minnie Mouse
Centaur,Animal,Minotaur
Desert,Ocean,Mirage
Glass,Obsidian,Mirror
Pig,Beauty,Miss Piggy
Countdown,Drone,Missile
Swamp,Wind,Mist
Woman,Mafia,Mistress
Virus,Rain,Mold
Treasure,Time,Money
Jungle,Dust,Monkey
Monkey,Wrench,Monkey Wrench
Loch Ness,Wind,Monster
Tractor,Swamp,Monster Truck
Earth,Reflection,Moon
Moon,Meteorite,Moon Rock
Moon,Stone,Moonstone
Hangover,Night,Morning
Swamp,Bee,Mosquito
Woman,Terror,Mother-in-law
Earth,Earth,Mountain
Garden,Cheese,Mouse
Popcorn,Love,Movie
Santa,Bride,Mrs. Claus
Steam,Earth,Mud
Dust Bowl,Mud,Mud Bowl
Mud,Crocopig,Muddy Pig
Mud,Pizza,Mudza
Donkey,Farm,Mule
Universe,Universe,Multiverse
Human,Dust,Mummy
Rock,Roll,Music
Beard,Beard,Mustache
Europe,Time Machine,Napoleon
Napoleon Dynamite,Star,Napoleon Bonaparte
Napoleon Bonaparte,Paradox,Napoleon Complex
Big Bang,Napoleon,Napoleon Dynamite
Fish,Unicorn,Narhwal
Anime,Ninja,Naruto
Asia,Mount Everest,Nepal
Loch Ness Monster,Smoke,Nessie
Cinema,YouTube,Netflix
Windmill,Country,Netherlands
Internet,System,Network
State of Liberty,House,New York
Rugby,Country,New Zealand
Apple,Karma,Newton
Moon,Flower,Night
River,Reef,Nile
China,Warrior,Ninja
Continent,America,North America
Nuclear,Country,North Korea
Fjord,Country,Norway
TV,Nuke,Nuclear
Missile,Death,Nuke
Count,Count,Number
Squirrel,Sun,Nut
Desert,Water,Oasis
Politician,Hawaii,Obama
Stone,Lava,Obsidian
Water,Lake,Ocean
Music,Number,Octave
God,Divorce,Odin
Odyssey,Homer,Odysseus
Odysseus,T-Rex,Odysseus Rex
Homer,Book,Odyssey
Oedipus Rex,Tragedy,Oedipus
Odysseus Rex,Tragedy,Oedipus Rex
Pig,Mirror,Oink
Zeus,Mountain,Olympus
Alpha,War,Omega
Pancake,Egg,Omelet
Pirate,Anime,One Piece
Window,Perfume,Open
Snake,Cookie,Oreo
Mickey Mouse,Rabbit,Oswald the Lucky Rabbit
Oswald the Lucky Rabbit,Weapon,Oswald the Lucky Rabbit With a Gun
Anime,Computer,Otaku
Fireplace,Stone,Oven
Bird,Flashlight,Owl
Owl,Fish,Owlfish
Violin,YouTube,Paganini
House,Oasis,Palace
Palm,Spell,Paladin
Desert,Tree,Palm
Palm,Everything,Palm Tree
Breakfast,Cake,Pancake
Black,Pig,Panda
Panda,Beauty,Pandora
Panda,Pig,Pandapig
Continent,Continent,Pangaea
Stalker,Movie,Paparazzi
Tree,Wood,Paper
Multiverse,Time Travel,Paradox
Garden,Garden,Park
Bird,Garden,Parrot
Best Friend,Music,Party
Love,Fire,Passion
Flag,Yin Yang,Peace
Mario,Princess,Peach
Unicorn,Wind,Pegasus
Land,POp,People
Ash,Tree,Pencil
Antartica,Island,Penguin
Incense,Water,Perfume
Country,Machu Picchu,Peru
Baconator,Quaqmire,Peter Griffin
Captain Hook,Fire,Peter Pan
Squirrel,Wisdom,Philosopher
Wisdom,Music,Philosophy
Bird,Fire,Phoenix
Newspapwer,Number,Phone
Girlfriend,Number,Phone Number
Plane,Pokemon,Pidgeot
Infinity,Number,Pi
Apple,America,Pie
Apple Pie,Fight,Pie Fight
Rainbow,Mud,Pig
Pig,Pig,Piglet
Mud,Pig,Pigpen
Pok\u00c3\u00a9mon,Anime,Pikachu
Pikachu,Sushi,Pikasushi
Plane,Human,Pilot
Alcohol,Pineapple,Pina Colada
Smell,Forest,Pine
Hawaii,Plant,Pineapple
Goldfish,Swamp,Piranha
Flag,Venus Flytrap,Piranha Plant
Ship,Dragon,Pirate
Lemonade,Lemonade,Pitcher of Lemonade
New York,Food,Pizza
Bird,Flying,Plane
Earth,Dust,Planet
Water,Earth,Plant
Man,Rabbit,Playboy
Napoleon Complex,Planet,Pluto
Bird,Song,Poem
Anime,Fish,Pok\u00c3\u00a9mon
Bankrupt,Businessman,Politician
Dust,Plant,Pollen
Parrot,Fireman,Polly
Tornado,Polly,Pollywag
Fire,Balloon,Pop
Butter,Toast,Popcorn
Catholic,Rich,Pope
Jelly,Ice,Popsicle
Pig,Pie,Pork Pie
Water,Village,Port
Owl,Harry Potter,Postman
Vase,Vase,Pot
Rainbow,Treasure,Pot of Gold
Clay,House,Pottery
Incense,Smoke,Prayer
Prayer,Water,Prayer Water
Tinkerbell,Fertility,Pregnant
Gift,Gift,Present
Lion,Lion,Pride
Pride,Calendar,Pride Month
Frog,Cupid,Prince
Mule,Beauty,Princess
Night,Sentence,Prison
Squirrel,Prison,Prisoner
Prison,Tsunami,Prison Break
Cake,Jail,Prison Cake
Titan,Fire,Prometheus
Hymn,Number,Psalm
Sicko,Love,Psychopath
Pterodactyl,Pterodactyl,Pteranodon
Bird,Dinosaur,Pterodactyl
Swamp,Mud,Quagmire
Princess,Crown,Queen
Cloud Trap,Mud,Quicksand
Animal,Dandelion,Rabbit
Chariot,Driver,Race
Car,Engine,Racecar
Toxic,Number,Radiation
Microscope,Wave,Radio
Radio,Radio,Radio Tower
Radio Tower,Water,Radio Waves
Cloud,Earth,Rain
Rain,Fire,Rainbow
Rainbow,Polar Bear,Rainbow Bear
Rain,Forest,Rainforest
Mud,Car,Rally
Captain,Machine Gun,Rambo
Rapper,Music,Rap
Human,DJ,Rapper
Princess,Ruin,Rapunzel
Subway,City,Rat
Politician,Depression,Recession
Coral,Coral,Reef
Mirror,Ghost,Reflection
Einstein,Theory,Relativity
Antique,Time,Relic
Firefighter,Time,Retirement
Sandwich,Karma,Revenge
Rally,Fire,Riot
Flag,Japan,Rising Sun
Fortnite,Program,Roblox
Sushi,Seaweed,Roll
Mars,Number,Roman
Samurai,Ninja,Ronin
Flower,Beauty,Rose
Gambler,Casino,Roulette
Rain,Sandcastle,Ruin
Bottle,Pirate,Rum
Car,Ash,Rust
Crying,Broken Heart,Sadness
Zoo,Zoo,Safari
Philosopher,Wisdom,Sage
Wind,Ship,Sail
Anime,Frankenstein,Sailor Moon
Christmas,Elder,Santa
Ninja,Sword,Sasuke
Goku,Flower,Saiyan
Japan,Warrior,Samurai
Dust,Dust,Sand
Desert,Software,Sandbox
Beach,Sand,Sandcastle
Desert,Storm,Sandstorm
Christmas,Cookie,Santa
Mummy,Mummy,Sarcophagus
Sushi,Rain,Sashimi
Bigfoot,Swamp,Sasquatch
Earth,Radio Waves,Satellite
Justice,Stones,Scales
Hourglass,Microscope,Science
Game,Number,Score
Jack,Itchy,Scratch
Computer,Glass,Screen
Meteor,Seahorse,Seadragon
Water,Monster,Sea Monster
Water,Dragon,Sea Serpent
Fish,Plant,Seaweed
Word,Word,Sentence
Volleyball,Country,Serbia
Stalker,Psychopath,Serial Killer
Computer,Computer,Server
Surfer,Sea,Shark
Shark,Oil,Shark Tank
Water,Island,Ship
Happily Ever After,Swamp,Shrek
Dengue,Vacation,Sick
Divorce,Sick,Sickness
Movie,Sick,Sicko
Werewolf,Gun,Silver Bullet
Family,Anime,Simpson
Lion,Country,Singapore
Mermaid,Bacon,Siren
Mosquito,Seaweed,Skeeter
Empire State Building,House,Skyscraper
Weapon,Stone,Slingshot
Jelly,Snow,Slushie
Perfume,Steam,Smell
Sun,Mushroom,Smile
Wind,Fire,Smoke
Cigarette,Smoke,Smoker
Allergy,Wind,Sneeze
Gun,Telescope,Sniper
Avalanche,Steam,Snow
Rain,Yeti,Snowman
Football,Football,Soccer
Network,Internet,Social
Wisdom,Squirrel,Socrates
System,Computer,Software
Toaster,Water,Soggy Bread
Earth,Ash,Soil
Sun,Fire,Solar
Solar Wind,Fire,Solar Flare
Sun,Electricity,Solar Panel
Sun,Galaxy,Solar System
Solar System,Wind,Solar Wind
Radio,Music,Song
Fruit,Ice,Sorbet
Lemon,Owl,Sourpuss
Cape Town,Africa,South Africa
North America,Pangaea,South America
Country,South,South Korea
Sand,Europe,Spain
Curse,Hex,Spell
Sand,Kraken,Sphinx
Divorce,Window,Splitting Pains
Area,Number,Square
Kraken,Water,Squid
Squid,Tourist,Squidward
Tree,Mouse,Squirrel
Psychopath,Love,Stalker
Planet,Planet,Star
Star,Lightsaber,Star Wars
Stone,America,Statue
Lighthouse,Boulder,Statue of Liberty
Water,Fire,Steam
Steam,Scales,Steam Engine
Steam Engine,Sphinx,Steam Sphinx
Planet,Steam,Steampunk
Ocean,Steampunk,Steampunk Pirate
Steam,Steampunk Pirate,Steampunk Pirate Ship
Steampunk Pirate,Plant,Steampunk Plant
Steampunk Plant,Smoke,Steampunk Tree
Iron,Iron,Steel
Glue,Technology,Sticky Note
Earth,Lava,Stone
Steampunk Pirate Ship,Stone,Stonehenge
Rain,Wind,Storm
Tiger,Love,Stripes
Donkey,Cupid,Stupid
YouTube,Heart,Subscribe
Steam,Train,Subway
Sushi,Fight,Sumo
Star,Fire,Sun
Sun,Flower,Sunflower
Morning,Mountain,Sunrise
Goku,America,Superman
Planet,Robot,Supernova
Mario,Luigi,Super Mario
Super Mario,Mario Bros,Super Mario Bros
Super Mario Bros,Super Mario Bros,Super Mario Bros 2
Super Mario Bros,Super Mario Bros 2,Super Mario Bros 3
Super Mario Bros,Super Mario Bros 3,Super Mario World
Super Mario Bros,Super Mario World,Super Mario 3D World
Super Mario Bros,Super Mario 3D World,Super Mario 3D World,Bowser\u00e2\u20ac\u2122s Fury
Goku,Dragon Ball Z,Super Saiyan
Steam,Wave,Surf
Surfer,Surfer,Surfboard
Tsunami,Pilot,Surfer
Surfer,Surfboard,Surfing
Mountain,Seaweed,Sushi
Flag,Cool,Swag
Lake,Earth,Swamp
Cool,Europe,Sweden
Chocolate,Politician,Sweet Talk
Broom,Number,Sweep
Country,Mountain,Switzerland
Blade,Blade,Sword
Planet,Solar,System
Terminator,Weapon,T-1000
Death,Dinosaur,T-Rex
T-Rex,Trump,T-Rump
Shrek,Rapunzel,Tangled
Dance,Number,Tango
Ship,Tractor,Tank
Monster Truck,Tank,Tank Truck
Jungle,Book,Tarzan
New York,Car,Taxi
Plant,Steam,Tea
Tea,Earth,Teapot
Tears,Book,Tearjerker
Heartbreak,Human,Tears
Godzilla,Tea,Tea-zilla
Science,Science,Technology
Love,Bear,Teddy Bear
Teddy Bear,Lion,Teddy Lion
Moonstone,Window,Telescope
Storm,Tea,Tempest
Robot,Relic,Terminator
Bomb,Freedom,Terrorist
Car,Electricity,Tesla
Tesla,Tesla,Tesla Tower
Asia,Beach,Thailand
Turkey,Honey,Thanksgiving
Movie,Popcorn,Theater
Einstein,Dust,Theory
Doctor,Devil,Therapist
Odin,Cosmos,Thor
Lightning,Beauty,Thunder
Tiger Lily,Love,Tiger
Earth,Captain Hook,Tiger Lily
Paradox,Time Paradox,Time
Clock,Bomb,Timebomb
Wormhole,Time Travel,Time Machine
Black Hole,Time Travel,Time Paradox
Black Hole,Wormhole,Time Travel
Love,Technology,Tinder
Peter Pan,Earth,Tinkerbell
Kraken,Earth,Titan
Iceberg,Boat,Titanic
Breakfast,Fire,Toast
Robot,Bread,Toaster
Venus Flytrap,Clean,Toilet
Godzilla,Island,Tokyo
Mummy,Earth,Tomb
Earth,Monkey Wrench,Tool
